feature,空值率%,inf率%,非空率%,importance,iv
波动率_20d,0.4,0.0,99.6,24,0.021317398074018
年化收益_20d,0.4,0.0,99.6,31,0.016993483272071
区间收益_20d,0.4,0.0,99.6,28,0.0199829933660491
报价日价格,0.4,0.0,99.6,26,
return_acceleration,0.4,0.0,99.6,19,0.0057122850141245
vol_ratio_20_60,0.4,0.0,99.6,29,0.0132022134852305
price_vs_MA120,0.4,0.0,99.6,43,0.0338127888034513
price_vs_MA20,0.4,0.0,99.6,53,0.0362250058030091
净利润,0.2,0.0,99.8,40,
报价日,0.1,0.0,99.9,181,
市场波动率_120d,0.1,0.0,99.9,115,0.1813798497851625
市场年化收益_120d,0.1,0.0,99.9,18,0.0559685451267286
市场胜率_120d,0.1,0.0,99.9,27,0.0464827300606553
市场距离MA250,0.1,0.0,99.9,41,0.0966860667942047
市场波动率比值,0.1,0.0,99.9,68,0.1488181484325728
