rank,feature,importance,importance_pct,cum_pct,IV,IV_label,corr,coverage,is_derived
121,净利润_fcf_CAGR2,12,0.3199146894161557,87.68328445747792,0.05669101240497933,弱,-0.07303869032925657,72.57281553398059,🆕
122,总分_delta_4y,12,0.3199146894161557,88.00319914689408,0.022606109746590143,弱,0.013952828903635703,96.27831715210357,🆕
123,资本支出_T1,12,0.3199146894161557,88.32311383631023,0.02508246216683439,弱,-0.015767890497130198,85.51779935275081,
124,区间收益_120d,11,0.2932551319648094,88.61636896827504,0.07237457720147782,弱,-0.07903166659013205,99.67637540453075,
125,波动率_120d,11,0.2932551319648094,88.90962410023985,0.03378689141984073,弱,-0.06274268032094268,99.67637540453075,
126,区间收益_20d,11,0.2932551319648094,89.20287923220467,0.052808308069247606,弱,-0.07443164072559938,99.67637540453075,
127,个股PE,11,0.2932551319648094,89.49613436416948,0.04577217406168532,弱,-0.04014939058796595,98.62459546925567,
128,行业MA120,11,0.2932551319648094,89.78938949613429,0.03992961172054541,弱,-0.04326664528193152,99.02912621359224,
129,FCF_T,11,0.2932551319648094,90.0826446280991,0.02348025274340457,弱,0.006778473140976642,85.51779935275081,
130,行业区间收益_20d,10,0.2665955745134631,90.34924020261256,0.09067400049999788,弱,0.10867007231309142,99.02912621359224,
131,折旧_T4,10,0.2665955745134631,90.61583577712602,0.03992348304616532,弱,0.009497763784411958,85.19417475728154,
132,当前价,10,0.2665955745134631,90.88243135163948,0.16575036230249984,中等,-0.10262399770596059,99.67637540453075,
133,均价_all,9,0.23993601706211676,91.1223673687016,0.13858859143998997,中等,-0.10378270073934828,91.8284789644013,
134,NOPAT_加速,9,0.23993601706211676,91.36230338576372,0.0370918441979943,弱,0.030392357929081612,85.51779935275081,🆕
135,FCF_conversion,9,0.23993601706211676,91.60223940282584,0.020439678959295233,弱,-0.019125237608515814,85.51779935275081,🆕
136,盈利能力_斜率,9,0.23993601706211676,91.84217541988797,0.0068702367531495705,极弱,-0.025127972474848423,96.35922330097088,
137,PE_vs_同行中位,9,0.23993601706211676,92.08211143695009,0.0304068025379071,弱,-0.0399513100652196,97.89644012944983,🆕
